2018;-1;Запрос остатков штрихкодов;QueryRestBCode;/opt/in/QueryRestBCode;bpRAR_CompanyRestsExciseStamp_SendQueryES;QueryRestBCode
2019;-1;Запрос о движении по форме Б;QueryFormBHistory;/opt/in/QueryHistoryFormB;bpRAR_MotionInfoHistoryReestr_QueryFormBHistory;QueryFormBHistory
2020;1;Ответ на запрос остатков штрихкодов;ReplyRestBCode;/opt/out/ReplyRestBCode/;bpRAR_CompanyRestsExciseStamp_ParseReplyES;ReplyRestBCode
2021;1;Ответ на завпрос о движении по форме Б;ReplyHistoryFormB;/opt/out/ReplyHistoryFormB/;bpRAR_MotionInfoHistoryReestr_ParseHistoryFormB;ReplyHistoryFormB
2022;1;Акт(ответ) v1;WayBillAct;/opt/out/WayBillAct/;bpRAR_WayBillAct_ParseWayBillAct_v1;WayBillAct
2023;1;Парс справочника клиентов;ReplyPartner;/opt/out/ReplyPartner/;bpRAR_Company_ParseReplyClient;ReplyClient
2024;1;Информация по справке 2 акта постановки на баланс;INVENTORYREGINFO;/opt/out/INVENTORYREGINFO/;bpRAR_BalanceAct_ParseInventoryRegInfo;INVENTORYREGINFO
2025;-1;Запрос на добавление иностранного контрагента;RequestAddFProducer;/opt/in/RequestAddFProducer;bpRAR_Company_AddForeignCompany;RequestAddFProducer
2026;-1;Запрос о движении по форме 2;QueryForm2History;/opt/in/QueryForm2History;bpRAR_MotionInfoMoveReestr_SendQueryForm2History;QueryForm2History
2027;1;История движения по форме 2 при регистрации ТТН;TTNHISTORYF2REG;/opt/out/TTNHISTORYF2REG;bpRAR_MotionInfoMoveReestr_ParseTTNHistoryF2Reg;TTNHISTORYF2REG
2028;-1;Запрос на получение ис-тории движения по форме 2;QueryParentHistForm2;/opt/in/QueryParentHistForm2;bpRAR_MotionInfoMoveReestr_QueryParentHistForm2;QueryParentHistForm2
2030;1;Парс ответа на запрос на получение ис-тории движения по форме 2;ReplyParentHistForm2;/opt/out/ReplyParentHistForm2;bpRAR_MotionInfoMoveReestr_ParseParentHistForm2;ReplyParentHistForm2
2031;-1;Наклданая (отгрузка) v4;WayBill_v4;/opt/in/WayBill_v4;bpRAR_CustNote_CreateContent_Despatch;WayBill
2032;1;Накладная (приход) v4;WayBill_v4;/opt/out/WayBill_v4;bpRAR_CustNote_ParseWayBill;WayBill
2033;-1;Отчет о производстве(v4);RepProducedProduct_v4;/opt/in/RepProducedProduct_v4;bpRAR_CustNote_CreateContent_ProdReceipt;RepProducedProduct
2034;-1;Транспортная накладная (УТМ 4);Route;/opt/in/Route;NULL;Route
2035;-1;Отмена транспортной накладной (УТМ 4);CancelRoute;/opt/in/CancelRoute;NULL;CancelRoute
