1;All;Все
2;New;Новый
3;Ready;Готов к отправке
4;Sent;Отправлен
5;Recorded;Зафиксирован
6;Differences;Частичная приемка
7;NotReady;Не готов к отправке
8;Error;Ошибка отправки
9;NotRecorded;Не зафиксирован
10;Repealed;Распроведен
11;Rejected;Отказан
13;SentQRRP;Отправлен запрос на распроведение
1012;Confirmed;Подтвержден
1013;Awaiting;В ожидании отправки
1014;Accepted;Принят
2014;ResourceInput;В ожидании ввода сырья
2015;Sending;Отправляется
2016;OldVersion;Старая версия
