1;00000;Не указан
2;00001;Стеклянная бутылка
3;00002;Металлическая бутылка
4;00003;Металлическая кега
5;00004;ПЭТ кега
6;00005;ПЭТ бутылка
7;00006;Алюминиевая банка
8;00007;Деревянная бочка
9;00008;Глиняная бутылка
10;00009;Стеклянный стакан
11;00010;KeyKeg/bag-in-box
12;00011;Стальная банка
13;00012;Емкостное оборудование, предназначенное для перевозки (транспортирования)
14;00013;Тетра Пак
15;00014;Алюминиевая бутылка
