818895;20171062;1-030198/19;2019-12-30 00:00:00.000;010000000580;030000022240;-1;Confirmed;13109f64-769b-4ba4-96f3-228d4eb1f168;NULL;2020-01-03 00:00:00.000;WayBill
818898;20171073;1-030199/19;2019-12-30 00:00:00.000;010000000580;030000267580;-1;Rejected;3398b8ba-47ad-42d8-b9de-8fe8a98e913e;NULL;2020-01-03 00:00:00.000;WayBill
818900;20171099;1-030200/19;2019-12-30 00:00:00.000;010000000580;020000439513;-1;Confirmed;e041c22e-ad91-4d88-981d-30fca2a397b8;NULL;2020-01-03 00:00:00.000;WayBill
818902;20171274;1-030201/19;2019-12-30 00:00:00.000;010000000580;030000179246;-1;Confirmed;4a2a9c80-3696-4b41-bd12-3fbd94bd118b;NULL;2020-01-03 00:00:00.000;WayBill
818905;20171385;1-030202/19;2019-12-30 00:00:00.000;010000000580;030000179563;-1;Confirmed;a2c89e8d-851f-41ac-8c5e-31ab57c2b755;NULL;2020-01-03 00:00:00.000;WayBill
818907;20172926;1-030203/19;2019-12-30 00:00:00.000;010000000580;030000468673;-1;Confirmed;047e090d-2ead-43f7-9c2b-3480ca3c2038;NULL;2020-01-03 00:00:00.000;WayBill
818910;20173140;1-030204/19;2019-12-30 00:00:00.000;010000000580;030000468673;-1;Confirmed;03d4e208-301d-4971-8f7d-b8efb286b798;NULL;2020-01-03 00:00:00.000;WayBill
818913;20171580;1-030205/19;2019-12-30 00:00:00.000;010000000580;020000410422;-1;Confirmed;c5f684f7-0733-4ef8-9ab9-31c6c5d2da8a;NULL;2020-01-03 00:00:00.000;WayBill
818914;20172966;1-030206/19;2019-12-30 00:00:00.000;010000000580;030000446023;-1;Confirmed;e341ca93-6652-4548-87ba-39eb986c4732;NULL;2020-01-03 00:00:00.000;WayBill
818917;20171735;1-030207/19;2019-12-30 00:00:00.000;010000000580;020000627668;-1;Confirmed;affd455a-d4ac-4a05-9d49-41cfa2078912;NULL;2020-01-03 00:00:00.000;WayBill
818919;20172651;1-030208/19;2019-12-30 00:00:00.000;010000000580;030000288684;-1;Confirmed;54097f6b-8c0a-44f2-8d65-60b78c093137;NULL;2020-01-03 00:00:00.000;WayBill
818922;20170921;1-030209/19;2019-12-30 00:00:00.000;010000000580;020000624689;-1;Confirmed;6d105e3a-5e20-4ebc-91af-b4a5aa7536ba;NULL;2020-01-03 00:00:00.000;WayBill
818924;20170925;1-030210/19;2019-12-30 00:00:00.000;010000000580;030000021834;-1;Confirmed;c2fd83e5-d900-42b8-a149-0150289054bf;NULL;2020-01-03 00:00:00.000;WayBill
818926;20170941;1-030211/19;2019-12-30 00:00:00.000;010000000580;030000028784;-1;Confirmed;9e112f67-f907-4b1f-aecb-fb98404c310d;NULL;2020-01-03 00:00:00.000;WayBill
818929;20170932;1-030212/19;2019-12-30 00:00:00.000;010000000580;020000646539;-1;Confirmed;41b71289-c0b1-4bf5-b1e3-a705ed1f121f;NULL;2020-01-03 00:00:00.000;WayBill
818932;20170935;1-030213/19;2019-12-30 00:00:00.000;010000000580;030000029497;-1;Confirmed;64918b7b-3ca1-4c93-aa0e-37779d36ff01;NULL;2020-01-03 00:00:00.000;WayBill
818933;20172096;1-030214/19;2019-12-30 00:00:00.000;010000000580;030000065876;-1;Confirmed;3dc76154-773f-4175-8ed4-570a0193854b;NULL;2020-01-03 00:00:00.000;WayBill
818936;20172038;1-030215/19;2019-12-30 00:00:00.000;010000000580;030000179125;-1;Confirmed;a83cb9b3-6d0b-450d-81af-addbe383c136;NULL;2020-01-03 00:00:00.000;WayBill
818937;20172922;1-030216/19;2019-12-30 00:00:00.000;010000000580;020000152544;-1;Confirmed;92faa774-f595-4322-b108-07473703df68;NULL;2020-01-03 00:00:00.000;WayBill
818940;20170929;1-030217/19;2019-12-30 00:00:00.000;010000000580;030000029303;-1;Confirmed;05c2dfbb-d162-4a7d-b27e-0096460afd40;NULL;2020-01-03 00:00:00.000;WayBill
818942;20171772;1-030218/19;2019-12-30 00:00:00.000;010000000580;030000084791;-1;Confirmed;fe0e00b2-cdc4-4f5e-98e0-22b1b7f86135;NULL;2020-01-03 00:00:00.000;WayBill
818944;20172072;1-030219/19;2019-12-30 00:00:00.000;010000000580;030000095414;-1;Confirmed;1956039f-9aa0-478a-9a53-353e3a07ad28;NULL;2020-01-03 00:00:00.000;WayBill
818946;20171854;1-030220/19;2019-12-30 00:00:00.000;010000000580;030000179339;-1;Confirmed;3b73607e-9116-4164-8f67-c1e31c185e6a;NULL;2020-01-03 00:00:00.000;WayBill
818948;20173338;1-030221/19;2019-12-30 00:00:00.000;010000000580;030000456728;-1;Confirmed;a5064fce-bd38-4959-93ad-7db65a1d4742;NULL;2020-01-03 00:00:00.000;WayBill
818951;20171965;1-030222/19;2019-12-30 00:00:00.000;010000000580;030000105385;-1;Confirmed;dac2eae8-d009-4380-95b9-a333e6be9cb7;NULL;2020-01-03 00:00:00.000;WayBill
818952;20172759;1-030223/19;2019-12-30 00:00:00.000;010000000580;030000105411;-1;Confirmed;c3bf7aaa-8e2d-4ab8-8ee0-0009133d3aab;NULL;2020-01-03 00:00:00.000;WayBill
